cell_id,centroid_x,centroid_y,area_pixels,area_microns_sq,perimeter_microns,equivalent_diameter_microns,major_axis_microns,minor_axis_microns,aspect_ratio,eccentricity,solidity,circularity,roundness,mean_green_intensity,max_green_intensity,min_green_intensity,green_intensity_std,mean_chlorophyll_intensity,max_chlorophyll_intensity,chlorophyll_intensity_std,chlorophyll_density,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,color_variation,high_chlorophyll,biomass_estimate,cell_type,health_status,size_category,chlorophyll_category,cluster_id,timestamp,image_path
21,163.35294117647058,50.87394957983193,119.0,29.75,24.263455967290593,6.154581744998688,8.193709342380286,5.086878462741455,1.6107539038714276,0.7839473587831379,0.8263888888888888,2.5401040445161227,2.256815063508554,0.5229839943838963,0.8186499746657968,0.18486840048666434,0.1431048084197773,0.09353805844725141,0.09361861636563705,4.4642385409021494e-05,0.0031441364183950053,0.6780359202504531,0.685879057505355,0.674114351623002,0.035363235659071846,0.035363235659071846,0.035363235659071846,0.052055044276301754,False,8.295983851465492,medium_low,healthy,medium,low,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
22,214.57142857142858,51.4078947368421,266.0,66.5,51.64823227814083,9.201653640780462,16.69831959421552,6.739059386731097,2.477841288517765,0.914945640373123,0.6683417085427136,1.2530851315874978,1.214636192039603,0.5631415398328621,0.9305104309452916,0.21130673469258515,0.15287998885300158,0.09187894258531952,0.09212795482085975,0.0004033281027961699,0.001381638234365707,0.6891346012089046,0.6969777384638065,0.6852130325814536,0.03845984803932509,0.03845984803932509,0.03845984803932509,0.05570324472606202,False,17.45537885372885,large_low,stressed,large,low,0,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
23,551.5071770334928,49.303827751196174,209.0,52.25,44.248737341529164,8.156394191823509,11.932923271910859,9.781012577838794,1.220008989554694,0.5728415998598413,0.6111111111111112,1.341387902593557,1.8687994966674373,0.6165600023718035,0.9515121573498477,0.1448534572564643,0.1800067842185915,0.14419327387711325,0.1503149446798753,0.015599494916146487,0.0027596798828155647,0.5425649685711605,0.5539356412421428,0.5272727272727273,0.06737525069069766,0.06724721960228298,0.06752362697047223,0.12449157320578833,False,16.942272242088276,medium_high,stressed,medium,high,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
24,325.9599156118143,53.28481012658228,237.0,59.25,38.16295090390226,8.685588237163813,10.63691169092914,8.368922375743399,1.2710013563704823,0.6172319735037137,0.7181818181818181,2.0449105370830414,2.667026661776594,0.5560573050242147,0.8603369031639353,0.07131372830721809,0.15560944476952657,0.0709065310924792,0.07209332706919018,0.0006083096058674409,0.0011967347019827713,0.6764788615868288,0.6843219988417308,0.6725572929593778,0.04387868060620323,0.04387868060620323,0.04387868060620323,0.0647382467271103,False,15.447317085915307,large_low,moderate,large,low,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
25,610.0555555555555,55.458333333333336,108.0,27.0,27.556349186104043,5.863230142835039,7.605520348492945,6.585984818622716,1.154803808078537,0.500134115293203,0.6923076923076923,1.7872703915368442,2.377256310254461,0.5334988618029384,0.8836777836241779,0.1447874463395276,0.1578107806791857,0.0856130389198601,0.08612994986569542,0.00033335602568930136,0.0031708532933281517,0.46122004357298474,0.46514161220043576,0.44161220043572985,0.031633956919147686,0.031633956919147686,0.031633956919147686,0.06937403834633916,False,7.000963456807455,medium_low,moderate,medium,low,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
26,547.3698630136986,56.534246575342465,73.0,18.25,17.485281374238568,4.820437914901168,6.601103986725678,3.637524042171081,1.8147244967172134,0.8344736584225502,0.8690476190476191,3.000457456979812,2.1330440797734074,0.6636636864232583,0.8920253753197822,0.2715632410112664,0.13071035742912027,0.15022337479185396,0.15057546690403,0.00018368424606146757,0.008231417796813916,0.5525651356432985,0.5643298415256514,0.5368788611334945,0.04389568125266013,0.04389568125266013,0.04389568125266013,0.07962820592999204,False,7.218714995385646,small_high,healthy,small,high,1,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
27,687.0905511811023,77.0,127.0,31.75,25.435028842544405,6.358093703724522,10.312264630541911,4.348773700590009,2.371304036616764,0.9067312775309746,0.8141025641025641,2.4668862033465517,1.5205676306119738,0.529274190856296,0.6003289027131089,0.48069778594062934,0.02665603353467703,0.08580874372573466,0.12997715726790687,0.009738660902330368,0.002702637597660934,0.42899490504863363,0.4333487725798981,0.4096032113632855,0.00599010932369042,0.005820247844784144,0.005837587088717394,0.013874749338928958,False,8.662536086846227,medium_low,healthy,medium,low,0,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
28,712.7564102564103,89.7948717948718,78.0,19.5,18.727922061357855,4.982787485166879,7.326965831495898,3.7860243852328135,1.9352664129883417,0.8561515994682801,0.8764044943820225,2.7946361982853842,1.8499346578104832,0.5155057535757713,0.5627398833711503,0.47190520248416357,0.019137171104136864,0.08333744869324433,0.08335394509027949,2.6057125985740566e-05,0.0042737153176022735,0.4241830065359477,0.4281045751633987,0.4045751633986928,0.004089740800723028,0.004089740800723028,0.004089740800723028,0.009761783814518305,False,5.313951257440448,small_low,healthy,small,low,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
29,704.7720588235294,104.07352941176471,612.0,153.0,70.7193000900063,13.957279475043833,20.929943806181477,11.082283962333602,1.8885947948381436,0.8483135543940122,0.7481662591687042,1.537748735430444,1.7787930180654157,0.5199062099084484,0.5858926849317665,0.46260483871616187,0.020419112814333163,0.08323320586379107,0.08329210981944098,3.564516453817273e-05,0.0005440078814626867,0.44152249134948096,0.445444059976932,0.4219146482122261,0.006578552592563727,0.006578552592563727,0.006578552592563727,0.015078265150914923,False,37.818399787198906,large_low,stressed,large,low,3,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
30,654.5685714285714,110.80571428571429,175.0,43.75,33.04163056034262,7.463526651802308,11.817684055404685,5.320071418051121,2.2213393630970852,0.8929384094033939,0.8215962441314554,2.014303793576143,1.5954508046249833,0.5352015596159485,0.7645734767405715,0.3351487348649749,0.0737156909020849,0.08304398598059089,0.08304476873608706,5.937340615452583e-06,0.0018981482509849346,0.477624649859944,0.481546218487395,0.4580168067226891,0.019472009698639152,0.019472009698639152,0.019472009698639152,0.04121968467798799,False,11.494976550166967,medium_low,moderate,medium,low,0,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
