cell_id,centroid_x,centroid_y,area_pixels,area_microns_sq,perimeter_microns,equivalent_diameter_microns,major_axis_microns,minor_axis_microns,aspect_ratio,eccentricity,solidity,circularity,roundness,mean_green_intensity,max_green_intensity,min_green_intensity,green_intensity_std,mean_chlorophyll_intensity,max_chlorophyll_intensity,chlorophyll_intensity_std,chlorophyll_density,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,color_variation,high_chlorophyll,biomass_estimate,cell_type,health_status,size_category,chlorophyll_category,cluster_id,timestamp,image_path
50,255.9144144144144,411.1081081081081,111.0,27.75,27.67766952966369,5.944106103225343,8.034137329878066,6.6505279758648435,1.2080450392862674,0.5610473559166862,0.6894409937888198,1.8208484621595455,2.18954863057757,0.5654696793724507,0.8607513236104192,0.2426721226012419,0.14839925410834,0.1561690987074303,0.1601689751199448,0.001593042603078906,0.005627715268736227,0.644338456103162,0.648260024730613,0.6168874757110051,0.03063427745565498,0.03063427745565498,0.03063427745565498,0.04812961941509293,False,9.150660435708213,medium_high,moderate,medium,high,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
51,426.2878787878788,413.54545454545456,99.0,24.75,24.64213562373095,5.613615477764332,7.927797910479309,5.088416786801314,1.558008756484527,0.7668344693203659,0.7557251908396947,2.048747193474746,2.005580837282728,0.5718947388299725,0.839860901739528,0.22032841386446436,0.16353001623327496,0.14683991604514238,0.14891773872464464,0.0008854922235515554,0.005932925900813834,0.6438898791839969,0.6478114478114478,0.61643889879184,0.033788335039200534,0.033788335039200534,0.033788335039200534,0.053122408797696793,False,8.181484881741925,small_medium,moderate,small,medium,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
52,234.42222222222222,416.0133333333333,225.0,56.25,43.55939751330898,8.462843753216344,15.286229254273024,6.062673095454746,2.5213678873322865,0.9179871562927836,0.6859756097560976,1.4901454246306371,1.2260040350410166,0.5731225666470581,0.8491964809018333,0.23941647553568773,0.13692852581214227,0.15209917339925458,0.1573870888494081,0.0021833875830751083,0.002703985304875637,0.6415686274509804,0.6454901960784314,0.6141176470588235,0.024424513911898902,0.024424513911898902,0.024424513911898902,0.03854115747236522,False,17.993967896250908,large_high,stressed,large,high,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
53,248.28977272727272,416.35227272727275,264.0,66.0,54.21625176280136,9.166995688475081,13.66157607315158,8.958771288471716,1.524938591828045,0.7549658473892246,0.5986394557823129,1.1286383736370182,1.800994704766798,0.5628002015236774,0.8543859481394269,0.26807201665595404,0.13418270614189878,0.15208041656986598,0.1563427299746306,0.0024065916251957394,0.00230424873590706,0.6424093879976233,0.6463309566250742,0.6149584076054664,0.025913916572796382,0.025913916572796382,0.025913916572796382,0.040837212099549436,False,20.22024541424443,large_high,stressed,large,high,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
54,415.24266666666665,415.792,375.0,93.75,53.148232278140824,10.925484305920792,15.089155467217621,9.425937769882214,1.600812124543251,0.7808785074997318,0.7396449704142012,1.6682590250809508,2.09706320383688,0.5630396967540348,0.9009686607165629,0.26259504584294885,0.16026097858577115,0.14514595188425297,0.14967277855704114,0.0017283506622158943,0.001548223486765365,0.6428758169934641,0.646797385620915,0.6154248366013072,0.0342733032995846,0.0342733032995846,0.0342733032995846,0.05397092841536067,False,29.59151532241793,large_medium,moderate,large,medium,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
55,383.07860262008734,419.2532751091703,229.0,57.25,48.40559159102155,8.537737635702333,11.489180220806114,9.780569390876675,1.174694413141553,0.5247032137355201,0.604221635883905,1.2281581142193043,2.2088565745795705,0.5849210118176404,0.8573032425836944,0.28870257779894565,0.120360718764003,0.14236731981888126,0.14608133008733226,0.0017093749970655521,0.0024867654116835156,0.6451237263464338,0.6490452949738847,0.6176727459542769,0.022768234472938926,0.022768234472938926,0.022768234472938926,0.03572717396805688,False,17.68590830634302,large_medium,stressed,large,medium,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
56,243.43370165745856,422.3259668508287,181.0,45.25,39.16295090390226,7.590394548326596,14.26836074769602,5.157449461659603,2.7665536722689748,0.9323874054945771,0.6830188679245283,1.4829879511565645,1.1319846332272745,0.5692515946301617,0.8817170919750725,0.22549752965595538,0.13314303640626074,0.14669432607039257,0.15009891544122672,0.0015432063977989998,0.0032418635595666866,0.6422489437764055,0.6461705124038566,0.6147979633842487,0.027909434036599668,0.027909434036599668,0.027909434036599668,0.04399303056450455,False,14.209202215894267,medium_medium,stressed,medium,medium,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
57,293.425,423.6875,80.0,20.0,20.849242404917497,5.046265044040321,8.646414726838552,3.344699145141369,2.5851098564122417,0.9221507285916422,0.8333333333333334,2.312699963722502,1.3624732369989965,0.648231273002191,0.865254753449174,0.39312196642286634,0.11965099212052994,0.14191332148579971,0.14391762904327676,0.0012090977950756751,0.007095666074289986,0.6583333333333333,0.6622549019607843,0.6308823529411764,0.02982954909533607,0.02982954909533607,0.02982954909533607,0.04585703101317678,False,7.2351569105806455,small_medium,moderate,small,medium,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
58,340.0655737704918,422.14344262295083,122.0,30.5,35.33452377915607,6.231677632421503,13.94357771303781,4.555480190385002,3.060835988809202,0.945125281774253,0.6192893401015228,1.2279232137175562,0.7989535048951091,0.6008281092173462,0.8775009762024724,0.26088791592109584,0.13510140189314904,0.13994680809783766,0.1428659923314617,0.0016556753786225937,0.0045884199376340215,0.6534233365477339,0.6573449051751848,0.625972356155577,0.034085258122998945,0.034085258122998945,0.034085258122998945,0.05279786796487239,False,9.527388618289928,medium_medium,stressed,medium,medium,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
59,128.00200803212851,425.6285140562249,249.0,62.25,61.18376618407356,8.902761462589227,20.86852606216519,8.508874440580652,2.452560113314013,0.9130993229397788,0.5112936344969199,0.835866265352709,0.727990838005594,0.5577467253544213,0.8342528684653518,0.30673534052763285,0.09429858175148448,0.13428709166448272,0.1392075226346711,0.002508683212161467,0.002157222356055947,0.6123631782030081,0.6162847468304592,0.5849121978108512,0.021204684991450076,0.021204684991450076,0.021204684991450076,0.03507689332878602,False,17.627223900338976,large_medium,stressed,large,medium,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
60,314.0498392282958,428.2990353697749,311.0,77.75,57.47665940288702,9.949591680222808,17.66190835956396,8.99667678816485,1.963159150365193,0.8605398922272486,0.6027131782945736,1.1830067315496517,1.2693905285637606,0.5612640888379896,0.9033058642512596,0.16954557166740034,0.14133279226766235,0.137274560497303,0.14175391516857405,0.0019070696430368123,0.001765589202537659,0.6424941680852405,0.6464157367126915,0.6150431876930836,0.03322701116652911,0.03322701116652911,0.03322701116652911,0.05235477380861877,False,22.99522849852283,large_medium,stressed,large,medium,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
